Campus,Student_ID,Rank,Maths_GPA,Physics_GPA,Chem_GPA,PUC_GPA,Gender
Nuzvid,N230360,1,10.0,10.0,10.0,10.0,F
Nuzvid,N230708,2,10.0,10.0,10.0,9.99,F
Nuzvid,N230019,3,10.0,10.0,10.0,9.96,F
Nuzvid,N230278,4,10.0,10.0,9.8,9.96,F
Nuzvid,N230488,5,10.0,10.0,10.0,9.94,F
Nuzvid,N230261,6,10.0,10.0,9.8,9.94,F
Nuzvid,N230936,7,10.0,10.0,9.8,9.94,M
Nuzvid,N230182,8,9.75,10.0,10.0,9.93,F
Nuzvid,N230017,9,10.0,10.0,10.0,9.92,M
Nuzvid,N230390,10,10.0,10.0,9.8,9.92,F
Nuzvid,N230307,11,10.0,9.8,9.8,9.92,F
Nuzvid,N230375,12,10.0,9.95,9.8,9.9,F
Nuzvid,N230230,13,10.0,9.8,10.0,9.9,M
Nuzvid,N230746,14,10.0,10.0,9.6,9.88,F
Nuzvid,N230169,15,10.0,9.8,9.8,9.88,F
Nuzvid,N230208,16,10.0,9.8,9.8,9.88,F
Nuzvid,N230413,17,10.0,9.8,9.6,9.88,F
Nuzvid,N230081,18,10.0,9.6,9.8,9.88,M
Nuzvid,N230369,19,9.75,10.0,9.8,9.87,F
Nuzvid,N230384,20,10.0,9.8,10.0,9.86,F
Nuzvid,N231055,21,10.0,9.95,9.6,9.85,F
Nuzvid,N230837,22,10.0,9.8,9.8,9.85,M
Nuzvid,N230646,23,10.0,9.8,9.6,9.85,F
Nuzvid,N230565,24,10.0,9.75,9.8,9.85,F
Nuzvid,N230010,25,10.0,9.8,9.8,9.84,F
Nuzvid,N230256,26,10.0,10.0,9.6,9.83,F
Nuzvid,N230908,27,10.0,9.75,9.8,9.83,F
Nuzvid,N231097,28,9.75,9.75,9.75,9.83,F
Nuzvid,N230211,29,10.0,10.0,9.6,9.82,F
Nuzvid,N230954,30,10.0,9.8,9.8,9.82,M
Nuzvid,N230478,31,10.0,9.75,10.0,9.82,F
Nuzvid,N230536,32,10.0,9.6,9.8,9.82,F
Nuzvid,N230264,33,10.0,9.6,9.8,9.82,F
Nuzvid,N230826,34,10.0,9.8,10.0,9.81,F
Nuzvid,N230023,35,10.0,10.0,9.6,9.8,M
Nuzvid,N230101,36,9.5,10.0,9.8,9.8,F
Nuzvid,N230823,37,10.0,9.8,9.8,9.79,F
Nuzvid,N230882,38,10.0,9.8,9.6,9.79,M
Nuzvid,N230338,39,9.75,9.8,9.8,9.79,F
Nuzvid,N230649,40,9.75,9.6,9.8,9.79,F
Nuzvid,N230063,41,9.5,9.95,9.6,9.79,F
Nuzvid,N230647,42,10.0,10.0,9.4,9.78,F
Nuzvid,N230557,43,10.0,9.8,9.6,9.78,F
Nuzvid,N231085,44,10.0,9.8,9.6,9.78,F
Nuzvid,N230831,45,10.0,9.8,9.8,9.77,F
Nuzvid,N231012,46,10.0,9.8,9.8,9.75,F
Nuzvid,N230496,47,10.0,9.75,9.4,9.75,M
Nuzvid,N230194,48,10.0,9.6,9.8,9.75,M
Nuzvid,N230289,49,9.75,10.0,9.75,9.75,M
Nuzvid,N230914,50,9.75,9.8,9.8,9.75,M
Nuzvid,N230797,51,9.75,9.8,9.4,9.75,F
Nuzvid,N230394,52,9.75,9.6,9.8,9.75,F
Nuzvid,N230301,53,9.5,9.75,9.8,9.75,F
Nuzvid,N230241,54,10.0,10.0,9.4,9.74,M
Nuzvid,N230011,55,9.75,9.75,9.8,9.74,F
Nuzvid,N230805,56,10.0,10.0,9.4,9.73,M
Nuzvid,N230584,57,9.75,10.0,9.8,9.73,F
Nuzvid,N231067,58,10.0,9.35,9.55,9.72,F
Nuzvid,N230028,59,9.75,9.8,9.6,9.72,F
Nuzvid,N230515,60,10.0,10.0,9.6,9.71,M
Nuzvid,N230290,61,10.0,9.8,9.4,9.71,F
Nuzvid,N230008,62,10.0,9.6,9.6,9.71,M
Nuzvid,N230723,63,9.75,9.6,9.6,9.71,F
Nuzvid,N230199,64,9.75,9.6,9.6,9.71,F
Nuzvid,N230217,65,9.5,9.8,9.4,9.71,F
Nuzvid,N230305,66,10.0,9.8,9.8,9.7,F
Nuzvid,N230355,67,10.0,9.8,9.6,9.7,M
Nuzvid,N230639,68,10.0,9.8,9.4,9.7,M
Nuzvid,N230173,69,10.0,9.6,9.4,9.69,F
Nuzvid,N230824,70,10.0,9.8,9.6,9.68,F
Nuzvid,N230039,71,9.5,9.8,9.6,9.68,F
Nuzvid,N230117,72,10.0,9.8,9.4,9.67,F
Nuzvid,N230480,73,10.0,9.75,9.0,9.67,M
Nuzvid,N230284,74,9.75,9.6,9.2,9.67,F
Nuzvid,N230145,75,9.5,9.8,9.6,9.67,F
Nuzvid,N230799,76,9.5,9.8,9.6,9.67,F
Nuzvid,N230277,77,9.25,10.0,9.6,9.67,F
Nuzvid,N230270,78,9.25,9.4,10.0,9.67,F
Nuzvid,N230951,79,10.0,9.6,9.2,9.66,F
Nuzvid,N230180,80,10.0,9.4,9.4,9.66,F
Nuzvid,N230533,81,9.75,9.6,9.4,9.66,F
Nuzvid,N230345,82,9.5,9.6,9.2,9.66,F
Nuzvid,N230801,83,10.0,9.6,9.35,9.65,M
Nuzvid,N230192,84,10.0,9.6,9.6,9.64,M
Nuzvid,N230688,85,10.0,9.6,9.2,9.64,F
Nuzvid,N230785,86,10.0,9.4,9.4,9.64,F
Nuzvid,N230210,87,10.0,9.4,9.15,9.64,F
Nuzvid,N230635,88,9.75,10.0,9.8,9.64,M
Nuzvid,N230129,89,9.75,10.0,9.35,9.64,M
Nuzvid,N230004,90,9.75,9.55,9.4,9.64,F
Nuzvid,N230481,91,9.5,9.8,9.4,9.64,F
Nuzvid,N231047,92,9.5,9.8,9.4,9.64,M
Nuzvid,N230038,93,9.5,9.6,9.6,9.64,F
Nuzvid,N231035,94,10.0,9.6,9.15,9.63,M
Nuzvid,N230815,95,9.75,9.8,9.0,9.63,F
Nuzvid,N230500,96,9.75,9.6,9.4,9.63,F
Nuzvid,N230095,97,9.75,9.4,9.4,9.63,F
Nuzvid,N230153,98,9.25,10.0,10.0,9.63,M
Nuzvid,N230754,99,9.25,9.6,9.6,9.63,F
Nuzvid,N230250,100,10.0,9.6,9.35,9.62,M
Nuzvid,N230341,101,9.75,9.8,9.4,9.62,F
Nuzvid,N230379,102,9.75,9.8,9.2,9.62,F
Nuzvid,N230436,103,9.5,9.6,9.8,9.62,F
Nuzvid,N230242,104,9.25,9.8,9.6,9.62,F
Nuzvid,N230554,105,10.0,9.6,9.4,9.61,F
Nuzvid,N230009,106,10.0,9.6,9.15,9.61,M
Nuzvid,N230240,107,10.0,9.4,8.95,9.61,M
Nuzvid,N230802,108,9.75,9.8,9.4,9.61,F
Nuzvid,N230109,109,9.75,9.4,9.2,9.6,F
Nuzvid,N230002,110,9.5,9.75,9.2,9.6,F
Nuzvid,N230206,111,9.5,9.4,9.4,9.6,F
Nuzvid,N230432,112,10.0,9.8,9.0,9.59,M
Nuzvid,N230456,113,9.75,9.8,8.95,9.59,F
Nuzvid,N230104,114,9.75,9.6,9.4,9.59,F
